currency,instrument,fx_business_date,london_date,hour,price_taker,market_maker,buy_ccy,sell_ccy,buy_volume_matched,sell_volume_matched,buy_trade_count_matched,sell_trade_count_matched,buy_volume_total,sell_volume_total,buy_trade_count_total,sell_trade_count_total
EURHUF,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,EUR,HUF,0.0,0.0,0,0,0.0,0.0,0,0
EURJPY,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,EUR,JPY,,,,,,3777368.92,,5
EURJPY,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,EUR,JPY,0.0,0.0,0,0,0.0,0.0,0,0
EURJPY,SPT,2018-01-02,2018-01-01,22,Fund,Bank,EUR,JPY,0.0,0.0,0,0,0.0,0.0,0,0
EURJPY,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,EUR,JPY,0.0,0.0,0,0,0.0,0.0,0,0
EURNOK,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,EUR,NOK,0.0,0.0,0,0,,0.0,,0
EURNOK,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,EUR,NOK,0.0,0.0,0,0,0.0,0.0,0,0
EURNOK,SPT,2018-01-02,2018-01-01,22,Fund,Bank,EUR,NOK,0.0,0.0,0,0,0.0,0.0,0,0
EURNOK,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,EUR,NOK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,22,Fund,Bank,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURSEK,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,EUR,SEK,0.0,0.0,0,0,0.0,0.0,0,0
EURUSD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,EUR,USD,11010000.0,1888000.0,12,5,16001828.98,6913000.0,20,11
EURUSD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,EUR,USD,0.0,0.0,0,0,0.0,0.0,0,0
EURUSD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,EUR,USD,,0.0,,0,,0.0,,0
EURUSD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,EUR,USD,0.0,0.0,0,0,0.0,0.0,0,0
GBPAUD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,GBP,AUD,0.0,0.0,0,0,0.0,0.0,0,0
GBPAUD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,GBP,AUD,0.0,0.0,0,0,0.0,0.0,0,0
GBPAUD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,GBP,AUD,0.0,0.0,0,0,,0.0,,0
GBPAUD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,GBP,AUD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCAD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,GBP,CAD,,,,,,,,
GBPCAD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,GBP,CAD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCAD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,GBP,CAD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCAD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,GBP,CAD,0.0,0.0,0,0,0.0,0.0,0,0
GBPCHF,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,GBP,CHF,0.0,0.0,0,0,0.0,0.0,0,0
GBPCHF,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,GBP,CHF,0.0,0.0,0,0,0.0,0.0,0,0
GBPCHF,SPT,2018-01-02,2018-01-01,22,Fund,Bank,GBP,CHF,0.0,0.0,0,0,0.0,0.0,0,0
GBPCHF,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,GBP,CHF,0.0,0.0,0,0,0.0,0.0,0,0
GBPJPY,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,GBP,JPY,131000.0,0.0,2,0,133000.0,0.0,4,0
GBPJPY,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,GBP,JPY,0.0,0.0,0,0,0.0,0.0,0,0
GBPJPY,SPT,2018-01-02,2018-01-01,22,Fund,Bank,GBP,JPY,0.0,0.0,0,0,0.0,0.0,0,0
GBPJPY,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,GBP,JPY,0.0,0.0,0,0,0.0,0.0,0,0
GBPUSD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,GBP,USD,155886.96,1000000.0,4,2,448886.96,1000000.0,8,2
GBPUSD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,GBP,USD,0.0,0.0,0,0,0.0,0.0,0,0
GBPUSD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,GBP,USD,0.0,0.0,0,0,0.0,0.0,0,0
GBPUSD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,GBP,USD,0.0,0.0,0,0,0.0,0.0,0,0
NZDUSD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,NZD,USD,1207000.0,0.0,5,0,1307000.0,800000.0,6,2
NZDUSD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,NZD,USD,0.0,0.0,0,0,0.0,0.0,0,0
NZDUSD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,NZD,USD,0.0,0.0,0,0,0.0,0.0,0,0
NZDUSD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,NZD,USD,0.0,0.0,0,0,0.0,0.0,0,0
USDCAD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,CAD,0.0,0.0,0,0,0.0,0.0,0,0
USDCAD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,CAD,0.0,0.0,0,0,0.0,0.0,0,0
USDCAD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,CAD,0.0,0.0,0,0,0.0,0.0,0,0
USDCAD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,CAD,0.0,0.0,0,0,0.0,0.0,0,0
USDCHF,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,CHF,,,,,,,,
USDCHF,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,CHF,0.0,0.0,0,0,0.0,0.0,0,0
USDCHF,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,CHF,0.0,0.0,0,0,0.0,0.0,0,0
USDCHF,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,CHF,0.0,0.0,0,0,0.0,0.0,0,0
USDDKK,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,DKK,0.0,0.0,0,0,0.0,0.0,0,0
USDDKK,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,DKK,0.0,0.0,0,0,0.0,0.0,0,0
USDDKK,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,DKK,0.0,0.0,0,0,0.0,0.0,0,0
USDDKK,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,DKK,0.0,0.0,0,0,0.0,0.0,0,0
USDHKD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,HKD,0.0,0.0,0,0,0.0,0.0,0,0
USDHKD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,HKD,0.0,0.0,0,0,0.0,0.0,0,0
USDHKD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,HKD,0.0,0.0,0,0,0.0,0.0,0,0
USDHKD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,HKD,0.0,0.0,0,0,0.0,0.0,0,0
USDHUF,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,HUF,0.0,0.0,0,0,0.0,0.0,0,0
USDHUF,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,HUF,0.0,0.0,0,0,0.0,0.0,0,0
USDHUF,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,HUF,0.0,0.0,0,0,0.0,0.0,0,0
USDHUF,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,HUF,0.0,0.0,0,0,0.0,0.0,0,0
USDILS,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,ILS,0.0,0.0,0,0,0.0,0.0,0,0
USDILS,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,ILS,0.0,0.0,0,0,0.0,0.0,0,0
USDILS,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,ILS,0.0,0.0,0,0,0.0,0.0,0,0
USDILS,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,ILS,0.0,0.0,0,0,0.0,0.0,0,0
USDJPY,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,JPY,2700000.0,,3,,4700000.0,23240000.0,5,11
USDJPY,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
USDJPY,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
